Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR,is_cascading_material_failure VRBA,is_possible_seal_failure VRBA,inv_rsam_quality_acceleration VRBA,is_pressurizing VRBA,slope_ratio VRBA,num_state_changes_inv_rsam VRBA,num_state_changes_log_dsar VRBA,is_hydrothermal_seal VRBA,falling_rsam_acceleration VRBA,falling_rsam_slope VRBA,falling_rsam_mean_derivative VRBA,falling_rsam_mean_abs_derivative VRBA,quiescence_rsam_duration VRBA,quiescence_rsam_drop_ratio VRBA,is_cascading_material_failure VORI,is_possible_seal_failure VORI,inv_rsam_quality_acceleration VORI,is_pressurizing VORI,slope_ratio VORI,num_state_changes_inv_rsam VORI,num_state_changes_log_dsar VORI,is_hydrothermal_seal VORI,falling_rsam_acceleration VORI,falling_rsam_slope VORI,falling_rsam_mean_derivative VORI,falling_rsam_mean_abs_derivative VORI,quiescence_rsam_duration VORI,quiescence_rsam_drop_ratio VORI
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,0,-12.244436425794767,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2117.0055723858686,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,41.93731036701202,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4652.789691196958,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,0,-32.401925272428905,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-225.4684041608994,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.15473376894202,59.93326845544279,59.93326845544279,0,0,0,1,17.422995750286645,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156.98832329304514,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,303.92950429558965,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,-326.31826439962333,4,6,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,12.637099975736687,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1024.240062884456,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.91936605032671,59.93326845544279,0,0,0,0,-11.500574194604985,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-380.2339672796514,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,0,-3.3303349231535195,3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,92.50364941545007,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,19.768758057034784,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-85.5987630596277,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
56.49937439176978,59.93326845544279,59.93326845544279,0,0,0,0,-27.441212204718447,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-7.60519235507206,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0
57.069373001529264,59.905463645210624,59.93326845544279,0,0,0,0,4.244472111073186,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-412.2891463694335,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
14.402891700264146,49.464757403030724,59.93326845544279,0,0,0,0,489.4338515501849,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,172.02738822900167,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0
43.20867510079244,52.70401779507855,59.93326845544279,0,0,0,0,6.139474606979077,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,80.12480178943757,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0
25.886278326150425,59.93326845544279,59.93326845544279,0,0,0,0,529.0390198031703,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.9416001767983204,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,0,7.268540653150419,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1965.1891567673022,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,23.30919467475469,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-172.0305187267793,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0
57.95912692895872,59.93326845544279,59.93326845544279,0,0,0,1,23.64127943713878,7,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-155.86132993218783,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,0,13.281916205914824,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125.1348707977548,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,43.475749184423975,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-182.8761446475725,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0
56.93034895036841,59.93326845544279,59.93326845544279,0,0,0,1,59.54764849415388,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25.695243547370616,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0
39.997219518976785,59.93326845544279,59.93326845544279,0,0,0,0,45.6830289095486,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-15.040688006515168,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0
58.098150980119556,59.93326845544279,59.93326845544279,0,0,0,1,310.17238865468823,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,15.985106562367621,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0
39.76087863200334,59.93326845544279,59.93326845544279,0,0,0,1,86.58344698692567,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-26.3227319028296,4,6,0,0.0,0.0,0.0,0.0,0.0,0.0
59.905463645210624,59.93326845544279,59.93326845544279,0,0,0,1,-68.12619467997777,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-169.5041916452746,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,-48.863478348460745,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-9.19939173623385,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,-49.445106504892934,5,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-62.846786110852925,6,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,-135.31480905944198,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,144.82011804347715,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,22.018825023503563,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,67.80741039525024,4,6,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,313.06594003426613,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124.24870255293699,7,4,0,0.0,0.0,0.0,0.0,0.0,0.0
46.71208119004588,59.82204921451411,59.93326845544279,0,0,0,1,134.29885784195713,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.109822063791356,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.905463645210624,59.93326845544279,0,0,0,0,313.78765911141716,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.942023918753796,5,6,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.75253718893369,59.93326845544279,0,0,0,1,-116.64057124955679,2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,220.0585035805916,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0
22.84165160572779,59.47448908661198,59.93326845544279,0,0,0,0,218.3470123665455,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,552.706279024962,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,-40.06554348138483,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,406.83780090833534,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.86375642986237,59.93326845544279,0,0,0,0,47.23504046319671,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-5.525848312758157,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.82204921451411,59.905463645210624,59.93326845544279,0,0,0,0,7.744521958981336,4,5,1,4.215605396339058e-06,-2.4852034551766184,-0.000744091390444018,0.0007453730095595603,32.166666666666664,0.6308540203340937,0,0,0,0,28.405966229584745,4,6,1,3.652784981629759e-05,-25.810183848252898,-0.006862766985610222,0.006874670041374752,28.866666666666667,0.67531806709317
59.93326845544279,59.93326845544279,59.93326845544279,0,0,0,1,47.05393463136371,4,5,1,3.6889854364431438e-06,-1.891995763864719,-0.0004712679234034194,0.000570066366563912,16.333333333333332,0.5638636698543634,0,0,0,1,639.2898230203468,4,6,1,3.7072127892892945e-05,-28.897811337066948,-0.006397082625591821,0.006437091503709444,12.25,0.6700209661570673
59.905463645210624,17.600444876963714,25.079938829417493,0,0,0,1,16.73942145651266,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-12357.276252876492,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0
56.541081607118024,0.0,34.85332962602531,0,0,0,0,-35.09104170259867,5,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-35.09104170259867,5,6,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.89156124009454,59.93326845544279,0,0,0,0,11.44205843260713,8,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,469.40825936106376,7,6,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.89156124009454,59.93326845544279,0,0,0,0,-526.5618316502256,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2193.1540904127064,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.89156124009454,59.93326845544279,0,0,0,0,458.5236719774797,5,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-591.104611442526,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.849854024746286,59.93326845544279,0,0,0,0,-99.68356100736345,4,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1320.553994382419,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.8359516196302,59.93326845544279,0,0,0,0,1.395154525651231,4,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,335.95174440647435,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.89156124009454,59.93326845544279,0,0,0,1,-43.6084023002419,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,215.3151175495072,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.89156124009454,59.93326845544279,0,0,0,0,-110.16671448045078,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2324.4721941289113,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0
59.93326845544279,59.89156124009454,59.93326845544279,1,0,0,1,-79.595047983774,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-556.6436313726874,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.91936605032671,39.482830529681635,39.927707493396355,0,1,0,1,47.85212637601612,3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-7296.827231349277,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0
59.97497567079104,59.89156124009454,59.93326845544279,0,0,0,1,1.4498682355905192,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-359.6839416819684,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
59.97497567079104,59.89156124009454,59.93326845544279,0,1,0,1,436.13784514109153,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1299.1226693834037,4,3,0,0.0,0.0,0.0,0.0,0.0,0.0
