Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR,is_cascading_material_failure VRBA,is_possible_seal_failure VRBA,inv_rsam_quality_acceleration VRBA,is_pressurizing VRBA,slope_ratio VRBA,num_state_changes_inv_rsam VRBA,num_state_changes_log_dsar VRBA,is_hydrothermal_seal VRBA,falling_rsam_acceleration VRBA,falling_rsam_slope VRBA,falling_rsam_mean_derivative VRBA,falling_rsam_mean_abs_derivative VRBA,quiescence_rsam_duration VRBA,is_cascading_material_failure VORI,is_possible_seal_failure VORI,inv_rsam_quality_acceleration VORI,is_pressurizing VORI,slope_ratio VORI,num_state_changes_inv_rsam VORI,num_state_changes_log_dsar VORI,is_hydrothermal_seal VORI,falling_rsam_acceleration VORI,falling_rsam_slope VORI,falling_rsam_mean_derivative VORI,falling_rsam_mean_abs_derivative VORI,quiescence_rsam_duration VORI
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,24.754118958220648,4,4,0,0.0,0.0,0.0,0.0,0.0,1,0,3,1,-255.8536314274499,6,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,21.914336011004604,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,7.965462976882009,3,6,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,88.70855552979364,99.95362856480408,0,0,0,0,-0.5165987283261808,4,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-39.933512713908186,2,6,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,-253.12547506813408,6,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,533.1631245878536,4,4,1,3.4822458536253963e-06,-1.7806224438918274,-0.0005398409614814866,0.0005573454632581928,9.65
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,25.94636843605482,5,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-15.833429960680192,6,2,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,24.516541708695375,4,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-895.5888988276758,5,5,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,98.28348447314535,2,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,379.6810554486327,4,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,0,-9.383029908683353,5,6,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-4.766512689873722,3,2,0,0.0,0.0,0.0,0.0,0.0
99.93044284720612,99.95362856480408,99.95362856480408,0,0,0,1,-216.8172018653026,6,5,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,35.384490566371866,7,3,0,0.0,0.0,0.0,0.0,0.0
99.62902851843265,99.95362856480408,99.95362856480408,0,0,0,0,4.837063828243447,5,6,1,7.279111077757813e-07,-0.16662961367634313,-4.3025931290072134e-05,0.00010060648728292414,10.583333333333334,0,0,0,0,523.2458586487629,3,5,0,0.0,0.0,0.0,0.0,0.0
99.90725712960817,99.95362856480408,99.95362856480408,0,0,0,0,-1.2374831671792894,4,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-74.37057092367306,3,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,3,1,-108.233359620286,3,5,1,5.494467024743292e-07,-0.2304845615481385,-6.68089859671598e-05,7.435036703831132e-05,11.816666666666666,0,0,2,0,-44.78053208604336,4,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.93044284720612,99.95362856480408,0,0,0,0,-8.539293096440915,6,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,327.9130096289244,4,6,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,278.97691934127243,5,8,1,2.861911864087195e-07,-0.1056435339069222,-2.7748126873040007e-05,3.559439942665018e-05,39.266666666666666,0,0,3,1,-51.220636012953555,3,3,0,0.0,0.0,0.0,0.0,0.0
0.0,37.56086250869464,99.95362856480408,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,483.2910823015245,4,3,0,0.0,0.0,0.0,0.0,0.0
69.76582425226061,94.7136563876652,99.95362856480408,0,0,3,0,-48.792045472211065,4,5,1,5.457503979134215e-07,-0.09901175679208318,-4.824147293208425e-06,7.814010134679954e-05,10.8,0,0,2,1,-16.153581142901047,6,5,1,2.021410259885618e-06,-1.0109917683970127,-0.000250028476132059,0.000336870874295387,49.6
70.64688152098307,99.95362856480408,99.95362856480408,0,0,0,0,-51.86481999754977,7,5,1,6.780227149862807e-07,-0.14600693860414352,-4.314050629311977e-05,7.861739998014274e-05,17.616666666666667,0,0,0,0,-116.00885731703252,3,4,0,0.0,0.0,0.0,0.0,0.0
85.04521214931601,99.95362856480408,99.95362856480408,0,0,3,1,-29.09545582044765,7,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,81.03382978354949,3,3,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,133.10563854582983,6,5,1,2.5386012881397295e-07,-0.10551219207076054,-2.4717328441712203e-05,3.2875218461840956e-05,8.566666666666666,0,0,0,1,1583.4682032111048,2,5,0,0.0,0.0,0.0,0.0,0.0
97.26408532344077,99.95362856480408,99.95362856480408,0,0,0,1,237.31870302668887,4,6,1,2.850520494805867e-07,-0.192479482227508,-4.631933654970702e-05,4.925422073239762e-05,14.6,0,0,3,1,-129.59523371359322,3,3,0,0.0,0.0,0.0,0.0,0.0
97.77417111059587,93.60074194296314,99.95362856480408,0,0,0,1,42.795335370089255,4,7,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-146.53385433069747,4,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,0,-20.636468380464276,3,3,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,315.7917397889031,6,5,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,102.6413795455562,7,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-43.071448659458206,6,5,0,0.0,0.0,0.0,0.0,0.0
86.71458381636911,99.95362856480408,99.95362856480408,0,0,0,0,-394.14744628615983,2,5,1,3.203755547219992e-07,-0.08970870032572614,-3.12440697945476e-05,4.2930371225788306e-05,46.516666666666666,0,0,0,0,-2.1882848310425866,2,6,0,0.0,0.0,0.0,0.0,0.0
91.69951309993044,99.95362856480408,99.95362856480408,0,0,0,1,190.85717237989974,5,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-98.12802076512308,4,5,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,-79.23577122983565,4,3,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,-79.29083608816755,4,7,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,0,-14.69171054286835,5,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19.984576740911436,4,6,1,6.133103561796464e-06,-4.579167759119042,-0.0011393925403180097,0.001140860997764169,11.75
99.95362856480408,99.95362856480408,99.95362856480408,0,0,0,1,86.78671167224023,3,6,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,-6.6755564079250105,5,5,1,2.9882709264799717e-06,-1.8128530229980528,-0.00045658637969903993,0.00048215119385431547,20.75
99.95362856480408,99.69858567122652,99.95362856480408,0,0,3,0,14.909661603876824,7,4,0,0.0,0.0,0.0,0.0,0.0,1,0,2,1,-337.9173939589615,3,4,0,0.0,0.0,0.0,0.0,0.0
79.73568281938326,99.90725712960817,99.95362856480408,0,0,0,1,11.398472080664002,2,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-63.73187682526914,3,5,0,0.0,0.0,0.0,0.0,0.0
99.83769997681429,99.86088569441223,99.95362856480408,0,0,0,0,-124.52896719623848,4,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,29.189551291903,4,3,0,0.0,0.0,0.0,0.0,0.0
99.90725712960817,56.80500811500116,99.95362856480408,0,0,0,0,-51.828836626169036,3,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,11.795087542703046,2,5,0,0.0,0.0,0.0,0.0,0.0
95.64108509158359,0.0,0.0,0,0,0,0,-8.03402547269221,2,5,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-8.03402547269221,2,5,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,70.41502434500347,99.95362856480408,0,0,0,0,253.85977299288544,5,6,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-25.467092023212388,3,5,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.8840714120102,99.95362856480408,0,0,1,0,76.3191321850707,6,6,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,-294.86392421804726,3,2,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.7217713888245,99.95362856480408,0,0,0,0,6.326150381674938,4,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1524.6926586899515,3,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.8840714120102,99.95362856480408,0,0,0,1,136.58379170267764,4,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8961.600559195093,4,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.8840714120102,99.95362856480408,0,0,0,1,234.25499042214156,5,6,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-477.3059104140745,7,4,0,0.0,0.0,0.0,0.0,0.0
99.95362856480408,99.14212844887548,99.95362856480408,1,0,3,1,-76.2110899876,4,5,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,282.441985582848,4,4,0,0.0,0.0,0.0,0.0,0.0
100.02318571759797,86.34361233480176,86.41316948759564,0,0,0,1,52.06052206279026,3,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-979.7836698430887,3,4,0,0.0,0.0,0.0,0.0,0.0
100.02318571759797,99.8840714120102,99.95362856480408,1,0,3,1,-117.03883010888399,5,4,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,711.5891785259662,5,5,0,0.0,0.0,0.0,0.0,0.0
100.02318571759797,99.8840714120102,99.95362856480408,0,0,2,1,-78.26465258712001,3,6,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,-66.12268325302273,3,5,0,0.0,0.0,0.0,0.0,0.0
100.02318571759797,99.35079990725713,99.95362856480408,0,0,0,0,-1.188037785093154,7,4,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,284.57068669964525,4,4,0,0.0,0.0,0.0,0.0,0.0
94.1340134477162,99.8840714120102,99.95362856480408,0,0,0,0,-318.75477131938123,3,5,0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,-1478.9858601142382,4,3,0,0.0,0.0,0.0,0.0,0.0
71.13378159054022,99.53628564804082,99.95362856480408,0,0,0,1,-2.6139935506061187,2,3,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,813.2154256251562,6,4,0,0.0,0.0,0.0,0.0,0.0
42.82402040343148,99.83769997681429,99.95362856480408,0,0,0,0,0.4427495824879444,2,2,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,-982.0767117362119,4,4,0,0.0,0.0,0.0,0.0,0.0
85.71759795965686,98.51611407373059,99.95362856480408,0,0,0,1,89.23555138814459,6,6,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1353.3616902028436,4,3,0,0.0,0.0,0.0,0.0,0.0
