Number of peaks,Avg Prominence,Max Prominence,Std Prominence,Avg h Width,Max h Width,Std h Width,Number of drops,Avg Drop Depth,Max Drop Depth,Std Drop Depth,Avg l Width,Max l Width,Std l Width
2,0.6180806491113806,1.1234663188810003,0.5053856697696197,420.95496447423966,714.9099289484793,293.95496447423966,2,1.1143651583898553,1.6878991077602947,0.5735339493704394,424.64994961667935,611.2829621965902,186.63301257991088
1,0.6524850763138446,0.6524850763138446,0.0,153.69864229721406,153.69864229721406,0.0,1,2.0637661807955894,2.0637661807955894,0.0,603.0,603.0,0.0
1,1.420148546912344,1.420148546912344,0.0,734.4897233458926,734.4897233458926,0.0,1,1.5484125689987636,1.5484125689987636,0.0,749.5115684527486,749.5115684527486,0.0
1,2.212667448793354,2.212667448793354,0.0,1537.2997802226173,1537.2997802226173,0.0,1,2.2924427443540267,2.2924427443540267,0.0,1589.0737639394438,1589.0737639394438,0.0
1,4.353425482512279,4.353425482512279,0.0,1607.7075477551896,1607.7075477551896,0.0,1,0.007811216479137073,0.007811216479137073,0.0,7.0,7.0,0.0
2,0.285683355309315,0.5356289661533467,0.24994561084403166,159.5777382855906,300.1554765711812,140.5777382855906,2,6.052738145698305,11.00019547517336,4.947457329475055,3180.9158792783014,4790.400354265208,1609.4844749869067
2,4.60830098791727,7.003636503489034,2.395335515571764,2240.509657432385,3887.5140203913716,1647.0043629589861,2,3.5197280918874885,6.4639462610653595,2.944218169177871,1736.1383937690534,2573.5908157663207,837.4524219972674
2,2.3911413670488884,4.423410608817925,2.0322692417690362,859.4475963453729,1197.8951926907457,338.44759634537286,2,1.7863836147764918,3.561959984936525,1.7755763701600333,634.6042773027889,1234.2085546055778,599.6042773027889
2,0.7798620969894827,1.2198788194638084,0.44001672247432566,150.5,173.0,22.5,2,2.6822135369668025,5.289395371803771,2.607181834836968,603.9366944253496,1191.8733888506993,587.9366944253496
1,7.779330475624882,7.779330475624882,0.0,2043.8515566961414,2043.8515566961414,0.0,1,4.134044679963637,4.134044679963637,0.0,887.0895867891682,887.0895867891682,0.0
1,40.01649410778407,40.01649410778407,0.0,1783.2816448429408,1783.2816448429408,0.0,1,22.820108364487183,22.820108364487183,0.0,1991.8991394104382,1991.8991394104382,0.0
2,1.0306772512212916,2.0414638988390053,1.0107866476177136,542.573766816467,1083.147533632934,540.573766816467,2,2.7563559355688625,5.500817744129172,2.7444618085603096,1132.8599953494167,2260.7199906988335,1127.8599953494167
2,61.48210078438954,122.69612480013642,61.21402401574688,1474.7780366865404,2920.556073373081,1445.7780366865404,1,2.597721359024142,2.597721359024142,0.0,727.3671840355405,727.3671840355405,0.0
2,15.290039931176224,30.424212218050712,15.134172286874488,1834.3588428466799,3658.7176856933597,1824.3588428466799,2,0.7989752032146242,1.374582752493069,0.5756075492784447,216.09083358607586,403.1816671721517,187.09083358607586
2,34.14422607030002,68.07512341657443,33.930897346274406,1140.3474262447849,2260.6948524895697,1120.3474262447849,2,10.69695491342074,20.72405682018936,10.027101906768621,963.5665847952171,1924.1331695904341,960.5665847952171
2,4.838447159647117,9.654191708134107,4.81574454848699,208.34500454454462,414.69000908908924,206.34500454454462,2,1.5306959844760826,3.048102744887032,1.5174067604109496,712.9384813971608,1421.8769627943216,708.9384813971608
1,73.4164219753477,73.4164219753477,0.0,1175.581495457027,1175.581495457027,0.0,1,48.57991615006972,48.57991615006972,0.0,2046.2480412836235,2046.2480412836235,0.0
1,25.507791014420917,25.507791014420917,0.0,2044.2786815857983,2044.2786815857983,0.0,2,2.5926660961358685,4.916354449585462,2.323688353449594,944.8485713142571,1700.6971426285143,755.8485713142571
1,2.0666157035477397,2.0666157035477397,0.0,210.95033163903912,210.95033163903912,0.0,1,0.3916025068630091,0.3916025068630091,0.0,115.0,115.0,0.0
1,0.006316807813973924,0.006316807813973924,0.0,2.0,2.0,0.0,1,3.776032097053225,3.776032097053225,0.0,1666.4334190204013,1666.4334190204013,0.0
2,0.017716312558558656,0.022072317974632938,0.004356005416074282,17.5,31.0,13.5,2,0.16943445856818506,0.3289260029019516,0.15949154433376656,262.9086101743526,517.8172203487052,254.9086101743526
1,11.431629394730919,11.431629394730919,0.0,489.3966969799386,489.3966969799386,0.0,1,9.990014940969786,9.990014940969786,0.0,419.0,419.0,0.0
1,97.51578470188804,97.51578470188804,0.0,791.1328050854643,791.1328050854643,0.0,1,6.45627954797942,6.45627954797942,0.0,378.0,378.0,0.0
