Sum_VT,Last_VT,Max_VT,Delta_Max_Min_VT,is_swarm_detected_VT,Sum_LP,Last_LP,Max_LP,Delta_Max_Min_LP,is_swarm_detected_LP,Sum_tornillo,Last_tornillo,Max_tornillo,Delta_Max_Min_tornillo,is_swarm_detected_tornillo,Sum_Precipitations,Last_Precipitations,Max_Precipitations,Delta_Max_Min_Precipitations
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,10.0,0.0,8.0,8.0,0,57.212500000000006,0.0,34.3275,34.3275
0.0,0.0,0.0,0.0,0,3.0,0.0,2.0,2.0,0,35.0,16.0,16.0,10.0,0,18.671,10.6691,10.6691,8.0018
0.0,0.0,0.0,0.0,0,2.0,0.0,2.0,2.0,0,9.0,4.0,5.0,1.0,0,17.29,11.9554,11.9554,6.620799999999999
2.0,2.0,2.0,2.0,1,1.0,0.0,1.0,1.0,0,10.0,10.0,10.0,10.0,1,6.9296,3.4648,3.4648,3.4648
0.0,0.0,0.0,0.0,0,4.0,0.0,3.0,3.0,0,18.0,3.0,15.0,15.0,0,40.3143,19.6013,19.6013,10.001399999999999
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,8.0,5.0,5.0,5.0,1,56.9142,28.4571,28.4571,21.3428
0.0,0.0,0.0,0.0,0,7.0,5.0,5.0,4.0,1,6.0,0.0,6.0,6.0,0,10.7156,0.0,10.7156,10.7156
0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0,2.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,52.7679,0.0,38.4165,38.4165
0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,15.0,5.0,6.0,2.0,0,3.0,0.0,3.0,3.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,4.0,1.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,6.0,1.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1,8.0,5.0,5.0,5.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
